Class,Glycine,Lactic acid,Pyruvic acid,Valine,Leucine1,Glycerol,Isoleucine,Leucine2,Malonic acid,Glycine2,Phosphate,Threonine1,Alanine,Threonine2,Succinic acid,Benzoic acid,Threitol,Malic acid,hydroxyproline1,Aspartic acid1,aminobutyric acid,Aspartic acid2,hydroxyproline2,Xylitol,Hydroxyglutaric acid,ethyl ester,Methionine,Creatinine,Putrescine,Hypotaurine,Glutamic acid,KA/AKA/T,Fructose,T/S/F1,S/A/M/G/G,T/S/F2,Glycerol3phoshate,A/M/G/G1,A/M/G/G2,A/M/G/G3,Citric acid,Acetylaspartic acid,Glucose,Scyllo-inositol,Lysine,S-I/M-I/I,Pantothenic acid,Tyramin/Tyrosine,Hexadecanoic acid,OA/SA/NA,Myo-Inositol-1-phosphate,a-l/l/M/c
ND1,0.84095124,1.306964491,NaN,NaN,0.060179021,0.036258786,0.064479341,NaN,0.512912858,0.127589474,4.204520109,0.024371852,0.056552713,0.002144525,NaN,0.01071757,0.028000275,0.027658246,0.059514124,0.019820357,0.008756809,NaN,0.050068274,0.007906375,0.005344915,0.039582912,0.003784205,0.00370047,0.153898551,0.025808302,0.846287564,0.004248667,0.011097517,0.16984544,NaN,0.064601779,0.019518367,0.12491617,0.049505036,0.026705042,0.078718335,0.010444329,0.065294057,NaN,NaN,0.748848174,0.002517278,0.00482788,0.038282446,0.164230742,0.001366041,0.001139887
ND1,0.897298675,1.33270004,0.019472097,0.001301906,0.068845417,0.037137075,0.097893513,0.004747919,0.499192836,0.109797136,NaN,0.032329507,0.077965311,NaN,NaN,0.011301014,0.019056063,0.013448721,0.043678731,0.009321432,0.006741193,NaN,0.068392256,0.004976684,0.00389342,0.029204559,0.004844721,0.003246898,0.113926958,0.017469785,0.399309301,0.003144962,0.005883216,0.077179223,0.014034349,0.028910367,0.021388613,0.007824838,0.003126273,0.001357686,0.088563248,0.007083624,0.004067961,NaN,NaN,0.675335825,0.000922505,0.00278862,0.025030869,0.120848942,NaN,0.001431027
ND1,0.929645794,1.650320144,0.02459213,0.001009017,0.050203349,0.032582952,0.067037571,NaN,0.519210514,0.093476586,8.52873086,NaN,0.06504121,NaN,0.011442962,0.012479985,0.02348372,0.020905112,0.048172639,0.01032053,0.004623746,NaN,0.029441471,0.006088941,0.004204945,0.026611884,NaN,NaN,0.076662276,0.01386497,0.314839333,0.003603631,0.005266934,0.12159175,0.020495048,0.042307215,0.017060026,0.046384828,0.015182138,0.008599141,0.057698253,0.00581657,0.019194419,0.004832263,NaN,0.646771108,0.000775039,0.001024126,0.024521042,0.113357779,0.001097535,0.000999787
ND1,0.950339429,2.059788943,0.0481599,0.001165456,0.117409857,0.075547936,0.160001099,0.009320225,0.536322894,0.14919778,8.189897683,0.050580163,0.084545533,NaN,NaN,0.013403842,0.037227273,0.018694016,0.042767839,0.022163965,0.010032209,NaN,0.121376555,0.008935582,0.004925313,0.02730296,0.011494279,0.006599336,NaN,0.023846411,0.800959901,0.003921851,0.010101748,0.22701698,0.03501065,0.085386114,0.022148019,0.04754768,0.02157307,0.008897718,0.12560651,0.008269971,0.024128681,0.007284747,NaN,0.888949927,0.000794515,0.019054131,0.029175882,0.129980191,NaN,0.003456166
ND1,0.951826911,2.478743716,0.051149545,0.001710659,0.126754081,0.095024789,0.177715481,0.012926884,0.529006951,NaN,6.93621569,0.046137313,0.105080498,0.003311375,0.016709392,0.01638271,0.042645884,0.018201436,0.041285229,0.025353313,0.008143145,NaN,0.114179538,0.01195977,0.006070407,0.02476903,0.013585047,0.005224855,0.161414374,0.020894016,0.803408932,0.003604684,0.007496179,0.262417341,0.041628351,0.096262295,0.020197681,0.029952435,0.012995942,0.005968021,0.113969059,0.007014821,0.015729996,0.00623292,NaN,0.794840262,0.001224582,0.021355602,0.024948508,0.11339583,NaN,0.004663483
ND1,0.93107007,1.849306055,0.037824612,NaN,0.06967085,0.042576273,0.09112168,NaN,0.524871254,0.137710112,5.579856679,0.028085268,0.050476881,NaN,0.014699202,0.009923881,0.029251442,0.026227752,0.039336206,0.02005984,0.005854604,NaN,0.051678034,0.00744618,0.005585134,0.025132859,NaN,0.001759844,0.112455033,0.01858233,0.701564478,0.004306693,0.006619514,0.170400878,NaN,0.061416874,0.020014986,0.085652603,0.021607503,0.016078315,0.063515961,0.006872493,0.022912484,0.005434965,NaN,0.71706563,0.001346273,0.004110118,0.02290833,0.105121339,0.001213192,0.001118746
ND1,NaN,1.912106352,0.041949769,0.001037638,0.071339284,0.049135958,0.091581954,0.005058826,0.52276744,0.132375542,5.526940776,0.029496353,0.04835561,NaN,0.015877012,0.01314137,0.033086606,0.025709358,0.046662684,0.01988191,NaN,NaN,0.052805108,0.008558983,0.006008729,0.023215385,0.006059537,NaN,0.115844141,0.020369428,0.873963976,0.004904829,0.007591957,0.21342246,0.033493313,0.076846054,0.022068622,0.100831097,0.026930312,0.018262459,0.072091828,0.007769774,0.033602511,0.005495414,NaN,0.737161939,0.001980115,0.003986132,0.025225153,0.1215663,0.001207667,0.001813751
ND1,0.921343327,1.758206706,0.036612888,NaN,0.081801385,0.048492178,0.10387786,NaN,0.531070695,0.166901665,3.69564191,0.033838193,0.041984955,NaN,0.01473088,0.009800325,0.032388066,0.03455289,0.045606934,0.020629906,0.007366748,NaN,0.065976298,0.009712443,0.00583934,0.02232981,NaN,NaN,NaN,0.025010917,0.928125659,0.004451703,0.011613474,0.179589852,0.029332622,0.067484465,0.028054032,0.11743401,0.026874537,0.022469003,0.073922977,0.008732543,0.029246533,NaN,NaN,0.839134076,0.001557148,0.006028954,0.026245524,0.108203055,0.001004376,0.001248033
ND1,0.95458595,1.843234934,0.040804059,NaN,NaN,0.044354713,0.098041265,0.010033511,0.525445755,0.116252412,5.061376803,0.031182243,0.047930573,NaN,0.015161414,0.011466259,0.029091761,0.024813127,0.055613607,0.016636992,0.007658661,NaN,0.05139485,0.009517784,0.007102412,0.024338034,0.005155546,NaN,0.124697847,0.023170057,0.585752906,0.005140878,0.007189461,0.190122727,0.03003797,0.073151622,0.021935644,0.09289084,0.030197498,0.017445444,0.073810736,0.007245628,0.039743389,0.005491312,NaN,0.734943236,0.001321129,0.001735161,0.026895515,0.118379254,0.000820261,0.001967041
ND1,0.91359212,1.424557537,0.019164646,NaN,0.052287757,0.036452258,0.071152295,0.00498369,0.51358377,0.117896686,3.385151218,0.023876259,0.031365059,NaN,0.011668912,0.008263445,0.021354549,0.02372469,0.043443056,0.014118495,0.00590131,NaN,0.038418532,0.00652965,0.00461607,0.023034019,NaN,NaN,0.100738082,0.01931357,0.60132102,NaN,0.0082801,0.116671894,0.022256829,0.042711567,0.020912651,0.071509355,0.02860692,0.013593394,0.054587355,0.00665492,0.042847063,0.004892195,NaN,0.695178544,0.001048571,0.001050288,0.025714836,0.109582005,0.000750264,0.000874086
ND1,0.909141908,1.528879052,0.031985435,NaN,0.05669682,0.03550192,NaN,0.005795643,0.519500709,0.095283624,4.513885877,0.02468281,0.036654242,NaN,0.011808639,0.007825867,0.021204805,0.020970717,0.048805189,0.01330629,0.007242647,NaN,0.034932811,0.006034602,0.004331,0.021850309,NaN,NaN,0.085527588,0.017240574,0.389947404,0.004265631,0.005626378,0.112780874,0.019191039,0.042146844,0.01619755,0.051162704,0.018069616,0.009163537,0.057634398,0.005389677,0.021981636,NaN,NaN,0.618205877,0.001268359,NaN,0.024618681,0.105495361,NaN,0.001137343
